time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,.velocity.linear.x,.velocity.linear.y,.velocity.linear.z,.velocity.angular.x,.velocity.angular.y,.velocity.angular.z,.covariance
2023/03/04/12:43:33.494556,149252,1668508049,874805098,,-162.76267768358983,7.196530652222225,0.0,0.0,0.0,0.6772490021455525,0.7357538916600125,0.0008121845114902257,0.009791076092480979,0.0,0.0,0.0,-0.00023815080527263703,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.494606,149253,1668508049,884818383,,-162.76257782879608,7.196539831438028,0.0,0.0,0.0,0.6772370445433964,0.7357648982508785,0.0008441361937260451,0.01017224778807415,0.0,0.0,0.0,-0.0002568103651823411,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.498102,149254,1668508049,894774212,,-162.7625726501413,7.196614080473224,0.0,0.0,0.0,0.6772360006835694,0.7357658590734721,0.0008707483164899807,0.010492575444096609,0.0,0.0,0.0,-0.0002740267574154238,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.508293,149255,1668508049,904623679,,-162.76211744928352,7.1995227293917345,0.0,0.0,0.0,0.6772332161474824,0.735768422091175,0.0015440069443569903,0.01860367844634489,0.0,0.0,0.0,-0.0004992423800656521,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.518378,149256,1668508049,914627826,,-162.7621030804735,7.199702996319738,0.0,0.0,0.0,0.6772312221325111,0.7357702574641798,0.0015841291445230932,0.01908585420008948,0.0,0.0,0.0,-0.0005243006862061397,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.528224,149257,1668508049,924602224,,-162.76193056077318,7.199748504180316,0.0,0.0,0.0,0.6772426594905746,0.7357597299160464,0.0016241906806278208,0.019575905441281828,0.0,0.0,0.0,-0.0005461370908737864,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.538237,149258,1668508049,934760825,,-162.76191548948898,7.199940161801761,0.0,0.0,0.0,0.6772404920680258,0.7357617249513991,0.0016657062964575244,0.020074845941232797,0.0,0.0,0.0,-0.0005659764231481352,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.554263,149259,1668508049,944631341,,-162.76166157572058,7.20005162587618,0.0,0.0,0.0,0.6772557271339469,0.7357477013652635,0.0016914884731175702,0.020395818700747293,0.0,0.0,0.0,-0.0005780027439785788,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.558110,149260,1668508049,954519479,,-162.7616463625127,7.200249562567439,0.0,0.0,0.0,0.6772534308441608,0.7357498150932921,0.0017357033298196862,0.020927371584601624,0.0,0.0,0.0,-0.0005941861739458885,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.568573,149261,1668508049,964815493,,-162.76139876528904,7.200437182334098,0.0,0.0,0.0,0.6772646800626954,0.7357394600941116,0.0017803253163793486,0.021473350293908244,0.0,0.0,0.0,-0.0006098510674714578,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.584354,149262,1668508049,974808832,,-162.76138219190423,7.200648642406388,0.0,0.0,0.0,0.6772622536148294,0.7357416936864205,0.0018270614202116635,0.0220352915621086,0.0,0.0,0.0,-0.0006258392988928116,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.588481,149263,1668508049,984805481,,-162.76042697626448,7.207470220761703,0.0,0.0,0.0,0.6772603274288037,0.7357434667674797,0.0033313566082709563,0.0401753034423622,0.0,0.0,0.0,-0.0011336354586389064,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.598164,149264,1668508049,994620502,,-162.76041026936917,7.207733120191906,0.0,0.0,0.0,0.6772562379192781,0.7357472311870608,0.0033595303539337186,0.04050960334445152,0.0,0.0,0.0,-0.001142135322232054,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.608428,149265,1668508050,4625641,,-162.76016727867537,7.208021035481999,0.0,0.0,0.0,0.6772639560377958,0.7357401265746178,0.003415449272983323,0.04119437330626144,0.0,0.0,0.0,-0.0011615865586402014,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/04/12:43:33.618068,149266,1668508050,14512272,,-162.76013594134778,7.208421904958699,0.0,0.0,0.0,0.677259517044432,0.7357442127347946,0.0034730691692113316,0.04188320012457621,0.0,0.0,0.0,-0.0011812453568523225,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
